station_id,demand_id,route_energy_fraction,route_distance_km,straight_distance_km,detour_ratio,demand_name,demand_category,demand_latitude,demand_longitude,station_name,station_category,station_latitude,station_longitude,scenario,wind_speed_mps,wind_flow_bearing_deg,total_energy_fraction,battery_reserve_after_mission_fraction,unserved_reason
facility_2442,facility_435,0.2935337485291721,3.2550277064621067,3.2550277064621067,1.0,دکتر هاشم شمشادی,doctors,35.7413278,51.4094393,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.33353374852917206,0.6664662514708279,
facility_2442,facility_436,0.46714728332842115,5.18024710225576,5.18024710225576,1.0,مرکز بهداشت و درمان دانشگاه تهران,clinic,35.7335834,51.3864601,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.5071472833284212,0.4928527166715788,
facility_2442,facility_438,0.3009257899058711,3.3369988583621355,3.3369988583621355,1.0,کلینیک شمیران نو,clinic,35.7967268,51.4341805,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.3409257899058711,0.6590742100941289,
facility_2442,facility_441,0.2181905066715394,2.41953829180321,2.41953829180321,1.0,کلینیک زخم دستهای مهربان,clinic,35.7886623,51.4319212,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.2581905066715394,0.7418094933284606,
facility_2442,facility_442,0.3055206245063883,3.3879514796748014,3.3879514796748014,1.0,کلینیک قیطریه,clinic,35.7958126,51.4397241,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.34552062450638826,0.6544793754936118,
facility_2442,facility_443,0.3622677211151254,4.017226214345945,4.017226214345945,1.0,دارالشفاء قائم,clinic,35.8016417,51.4404436,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.4022677211151254,0.5977322788848747,
facility_2442,facility_444,0.1505652162935507,1.6696340816710578,1.6696340816710578,1.0,گروه درمان چاقی باراکا,clinic,35.77329,51.4429885,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.19056521629355072,0.8094347837064493,
facility_2442,facility_446,0.14924217272361784,1.6549627074302178,1.6549627074302178,1.0,ساختمان پزشکان سپهر,doctors,35.7632289,51.4435778,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.18924217272361785,0.8107578272763821,
facility_2513,facility_447,0.1722067295567102,1.9096191792427275,1.9096191792427275,1.0,بیمارستان روانپزشکی دلارام سینا,hospital,35.6363573,51.4344209,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.21220672955671022,0.7877932704432897,
facility_2442,facility_451,0.30350552935413305,3.3656058700656346,3.3656058700656346,1.0,مطب دکتر سامان محمدی پور,doctors,35.7800297,51.4598466,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.34350552935413303,0.656494470645867,
facility_2513,facility_452,0.6235535290416793,6.914652995313672,6.914652995313672,1.0,مرکز پزشکان بازرگان,clinic,35.652062,51.3405365,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.6635535290416793,0.3364464709583207,
facility_2578,facility_458,0.6523900478104604,7.234424292551641,7.234424292551641,1.0,مطب دکتر آزیتا دادگر,doctors,35.6919478,51.376204,بیمارستان سلامت فردا,hospital,35.74368823718312,51.327500297168406,CALM,0.0,,0.6923900478104604,0.30760995218953957,
facility_2578,facility_459,0.10364009601791409,1.1492763122778593,1.1492763122778593,1.0,کلینیک درد بهار,clinic,35.7356279,51.3354876,بیمارستان سلامت فردا,hospital,35.74368823718312,51.327500297168406,CALM,0.0,,0.14364009601791408,0.856359903982086,
facility_2442,facility_46,0.1220065299110577,1.3529436980236105,1.3529436980236105,1.0,کلینیک پوست دکتر دولتى,clinic,35.7619289,51.4126116,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.1620065299110577,0.8379934700889423,
facility_2442,facility_461,0.5471953258630367,6.067908564025754,6.067908564025754,1.0,درمانگاه درکه,clinic,35.8086493,51.3819038,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.5871953258630367,0.4128046741369633,
facility_2442,facility_463,0.294282761528527,3.263333593187627,3.263333593187627,1.0,دکتر آذر اصلانی مقدم,doctors,35.7412094,51.4095206,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.334282761528527,0.665717238471473,
facility_2442,facility_464,0.4109639664753138,4.55722418269655,4.55722418269655,1.0,درمانگاه شبانه روزی حکیمان,clinic,35.7690849,51.4763686,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.4509639664753138,0.5490360335246862,
facility_2513,facility_465,0.5170862444714345,5.734025681267393,5.734025681267393,1.0,دارالشفاء کوثر,clinic,35.5857303,51.4368644,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.5570862444714345,0.4429137555285655,
facility_2578,facility_466,0.4371716452539919,4.8478439869749606,4.8478439869749606,1.0,دکتر مهسا ساداتی,doctors,35.730672,51.3786787,بیمارستان سلامت فردا,hospital,35.74368823718312,51.327500297168406,CALM,0.0,,0.47717164525399186,0.5228283547460082,
facility_2442,facility_467,0.26851964786368654,2.977643619874544,2.977643619874544,1.0,مطب دکتر القاسی,doctors,35.7566395,51.3958122,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.3085196478636865,0.6914803521363135,
facility_2442,facility_470,0.3010692331114323,3.338589515691131,3.338589515691131,1.0,کلینیک ایرانیان,clinic,35.7796864,51.4597092,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.3410692331114323,0.6589307668885678,
facility_2442,facility_479,0.15900999165512292,1.7632791153835417,1.7632791153835417,1.0,دکتر نسترن گودرزی متخصص بیماریهای دهان، فک و صورت,doctors,35.76399,51.445051,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.19900999165512293,0.8009900083448771,
facility_2442,facility_48,0.23796330620752282,2.6388010193309466,2.6388010193309466,1.0,مطب دکتر ناطقیان,doctors,35.7527628,51.4490184,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.2779633062075228,0.7220366937924771,
facility_2442,facility_480,0.45663496880694854,5.063674901621608,5.063674901621608,1.0,درمانگاه شفا مهر صدرا,clinic,35.7241501,51.4080173,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.4966349688069485,0.5033650311930515,
facility_2513,facility_481,0.49182490921446326,5.453899983368307,5.453899983368307,1.0,مرکز بهداشت ۱۲ بهمن,clinic,35.6472919,51.4714922,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.5318249092144632,0.46817509078553676,
facility_2513,facility_482,0.5113669489971937,5.670603790859971,5.670603790859971,1.0,مرکز بهداشت امام رضا,clinic,35.6300901,51.3511021,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.5513669489971937,0.44863305100280626,
facility_1846,facility_483,0.6449253894617606,7.151647883140317,7.151647883140317,1.0,مرکز بهداشت قائم,clinic,35.8059414,51.5258507,Turan Hearing Aid Center,hospital,35.7417034,51.5326919,CALM,0.0,,0.6849253894617606,0.3150746105382394,
facility_2513,facility_484,0.2524782567459535,2.799758886687801,2.799758886687801,1.0,unnamed,clinic,35.6378672,51.4440823,درمانگاه شبانه‌روزی یاس,hospital,35.63380147765345,51.413563736577125,CALM,0.0,,0.29247825674595346,0.7075217432540466,
facility_2442,facility_486,0.49217807484763354,5.457816275538115,5.457816275538115,1.0,مرکز خدمات جامع سلامت امامزاده قاسم,clinic,35.815953,51.4357331,بیمارستان کودکان حضرت علی اصغر,hospital,35.767388599236256,51.42599559885438,CALM,0.0,,0.5321780748476336,0.4678219251523664,
