name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude,facility_id,no_fly_categories,in_no_fly_zone
مرکز بهداشت وردآورد,clinic,clinic,clinic,True,False,35.7390202,51.1370768,538,,False
کلینیک شبانه روزی خانی آباد,clinic,clinic,clinic,True,False,35.6283713,51.3909381,540,,False
کلینیک سپینود,clinic,clinic,clinic,True,False,35.8061666,51.4624286,541,,False
دکتر لیلا ملکی / جراح بینی,doctors,doctor,doctors,True,False,35.7973926,51.4080866,542,,False
دکتر سعید رضا یوسف,doctors,doctor,doctors,True,False,35.7862089,51.4266892,543,,False
کلینیک دامپزشکی آریانا,,clinic,clinic,True,False,35.7540861,51.3262618,544,,False
مطب دندانپزشکی نیک,clinic,clinic,clinic,True,False,35.7358756,51.3344331,545,,False
دکتر افشین طاهری اعظم,doctors,doctor,doctors,True,False,35.7806345,51.3685178,546,,False
رنگ و ابزار شهریاری,clinic,,clinic,True,False,35.7187299,51.3740239,547,,False
نگین آزادی,clinic,clinic,clinic,True,False,35.7009035,51.3810186,549,,False
دکتر محمدعلی اخوت پور,doctors,doctor,doctors,True,False,35.7562248,51.3941513,551,,False
راهپویان شفا,clinic,clinic,clinic,True,False,35.7709113,51.3060098,556,,False
مرکز جامع سلامت سوهانک,clinic,clinic,clinic,True,False,35.8034743,51.5355365,559,,False
آزمایشگاه زمرد,,laboratory,laboratory,True,False,35.7578985,51.450719,560,,False
درمانگاه شبانه روزی فرح بخش,clinic,clinic,clinic,True,False,35.7406509,51.4661826,562,,False
درمانگاه شبانه روزی امین,clinic,clinic,clinic,True,False,35.6373572,51.4507743,564,,False
مرکز بهداشتی درمانی راهور,clinic,,clinic,True,False,35.7002131,51.375257,565,,False
کلینیک ارتوپدی سپید,clinic,clinic,clinic,True,False,35.768871,51.475804,568,,False
کلینیک فوق تخصصی قلب سلامت,clinic,clinic,clinic,True,False,35.7996193,51.4492294,569,,False
دکتر حسین دباغیان (فوق متخصص قلب و عروق),doctors,doctor,doctors,True,False,35.7995694,51.4491602,570,,False
درمانگاه شبانه روزی سپیدار,clinic,clinic,clinic,True,False,35.7428588,51.5376249,571,,False
دکتر غزوینیان,doctors,,doctors,True,False,35.76018,51.4002049,574,,False
مرکز ارتوپدی فنی پایار,clinic,clinic,clinic,True,False,35.7597404,51.4173847,575,,False
کلینیک رازنو,clinic,clinic,clinic,True,False,35.740636,51.4456874,577,,False
دكتر سميرا حسن خانی جراح و متخصص زنان، زايمان و نازایی,doctors,doctor,doctors,True,False,35.7135598,51.3683833,578,,False
دکتر نیما توکلی - متخصص اعصاب و روان,doctors,doctor,doctors,True,False,35.7235261,51.4235984,582,,False
دکتر نازنین صفائی,doctors,doctor,doctors,True,False,35.7972275,51.409595,583,,False
وستالب,clinic,clinic,clinic,True,False,35.7542463,51.4109982,584,,False
کلینیک جوان,clinic,clinic,clinic,True,False,35.7445613,51.4119459,586,,False
درمانگاه آزادگان,clinic,clinic,clinic,True,False,35.6625474,51.4594474,588,,False
مطب دکتر فاطمه ابراهیمی,doctors,doctor,doctors,True,False,35.7458743,51.41138,589,,False
کلینیک پوست و مو ساعی,clinic,clinic,clinic,True,False,35.7680988,51.4191241,590,,False
مطب دکتر مهدی صالح زاده,doctors,doctor,doctors,True,False,35.7362856,51.4638748,591,,False
کلینیک ماهک,clinic,clinic,clinic,True,False,35.723316,51.41166,592,,False
دکتر سیامک مرادی,doctors,doctor,doctors,True,False,35.7664665,51.4429076,593,,False
ساختمان پزشکان سبز,doctors,doctor,doctors,True,False,35.7655706,51.4421084,594,,False
دکتر زهرا امیدوار,doctors,doctor,doctors,True,False,35.7426129,51.4472434,595,,False
کلینیک زیبایی پارسیان طب,clinic,doctor,clinic,True,False,35.7599931,51.4426617,596,,False
ساختمان پزشکان حکیم,doctors,doctor,doctors,True,False,35.7650152,51.4415233,597,,False
unnamed,doctors,doctor,doctors,True,False,35.7080639,51.388873,598,,False
مرکز بهداشت دولت آباد,clinic,clinic,clinic,True,False,35.6171059,51.452614,599,,False
آزمایشگاه تشخیص طبی خاتم,,laboratory,laboratory,True,False,35.6336878,51.3726782,600,,False
مرکز جراحی سهند,clinic,clinic,clinic,True,False,35.7323872,51.4426082,606,,False
مرکز ارتوپدی فنی طب نو,clinic,clinic,clinic,True,False,35.7339081,51.4404107,607,,False
کلینیک دامپزشکی سهروردی,,clinic,clinic,True,False,35.7275337,51.4368537,608,,False
درمانگاه خيريه امام جعفر صادق ع تهرانپارس,clinic,clinic,clinic,True,False,35.7431631,51.554655,609,,False
پایگاه سلامت باغ اناری,clinic,clinic,clinic,True,False,35.7527238,51.5446671,610,,False
کلینیک گوارش,,clinic,clinic,True,False,35.7348696,51.3284603,611,,False
کلینیک پزشگان,,clinic,clinic,True,False,35.7347783,51.3276466,612,,False
دکتر سپید,doctors,doctor,doctors,True,False,35.7721707,51.3746402,615,,False
مطب دکتر حمیدرضا سمیعی,doctors,doctor,doctors,True,False,35.7405476,51.4674886,619,,False
مرکز توانبخشی معلولان ذهنی آوای رضوان,clinic,clinic,clinic,True,False,35.6394519,51.4454012,620,,False
کلینیک دندانپزشکی بهبود,clinic,clinic,clinic,True,False,35.7592498,51.4115221,621,,False
درمانگاه خیریه حضرت علی‌اصغر,clinic,,clinic,True,False,35.613511,51.4527176,623,,False
درمانگاه شهرداری منطقه ۱۰,clinic,clinic,clinic,True,False,35.6701984,51.3727813,624,,False
مرکز تصویربرداری پزشکی تهران,clinic,,clinic,True,False,35.7195006,51.4056101,626,,False
دکتر آذر محمدی | زیبایی,doctors,doctor,doctors,True,False,35.7942438,51.4365002,628,,False
