name,amenity,healthcare,facility_category,is_demand_point,is_candidate_station,latitude,longitude,facility_id,no_fly_categories,in_no_fly_zone
مطب دکتر سعید امیری پویا متخصص قلب و عروق,doctors,doctor,doctors,True,False,35.7596969,51.4448126,2199,government_political,True
مطب دکتر رضا ساریخانی,doctors,doctor,doctors,True,False,35.802113,51.434006,2200,government_political,True
مرکز خدمات روانشناسی و مشاوره مهرا,clinic,counselling,clinic,True,False,35.7611526,51.4460402,2201,government_political,True
مطب دکتر مصطفی بهپور اسکویی,doctors,doctor,doctors,True,False,35.6906256,51.4647793,2202,airport_buffer|government_political,True
ریمالند,clinic,clinic,clinic,True,False,35.730166,51.348554,2203,,False
کلینیک شنوایی و تعادل و سمعک فرمانیه,clinic,clinic,clinic,True,False,35.7990052,51.4725885,2204,,False
دکتر وقردوست,doctors,doctor,doctors,True,False,35.7589604,51.4138976,2205,,False
مطب دکتر شیوا جوادیان,doctors,doctor,doctors,True,False,35.7947035,51.4350596,2206,government_political,True
آزمایشگاه گلچهره قیطریه,,laboratory,laboratory,True,False,35.7958905,51.442628,2207,government_political,True
کلینیک تخصصی قلب و عروق تهران,clinic,clinic,clinic,True,False,35.7773392,51.413955,2208,government_political,True
کلینیک دکتر بهنوش زینلی زاده,clinic,clinic,clinic,True,False,35.8030497,51.4733027,2209,government_political,True
مطب دکتر رضا راست منش,doctors,doctor,doctors,True,False,35.7799669,51.4492648,2210,,False
روان‌شناس و مشاور، حمیده حیدری,clinic,clinic,clinic,True,False,35.724125,51.4356098,2211,,False
مطب دندانپزشکی دکتر بهرام عوض ابادیان,clinic,clinic,clinic,True,False,35.7781741,51.3610859,2212,government_political,True
مطب پزشکی ارغوان,doctors,doctor,doctors,True,False,35.7163368,51.3430986,2213,airport_buffer,True
مطب دندانپزشکی سیب,clinic,clinic,clinic,True,False,35.7881581,51.424003,2214,,False
مطب تخصصی دندانپزشکی دکتر مهدیه نظرآهاری,doctors,doctor,doctors,True,False,35.7813769,51.4663928,2215,government_political,True
مرکز مشاوره و کلینیک مادر و کودک دانشگاه شهید بهشتی,clinic,clinic,clinic,True,False,35.7143277,51.3152857,2216,airport_buffer,True
مطب دکترمحمدحسین طاهریان,doctors,doctor,doctors,True,False,35.759824,51.4061433,2217,,False
مرکز مشاوره مونس,clinic,clinic,clinic,True,False,35.7060893,51.4630431,2218,airport_buffer,True
مطب دکتر سید ارسلان خسروی,doctors,doctor,doctors,True,False,35.726577,51.4172193,2219,government_political,True
آزمایشگاه پادتن ژن آزما,,laboratory,laboratory,True,False,35.7001626,51.390179,2220,government_political,True
کلینیک راز دکتر رضا امیرزرگر متخصص جراحی فک، صورت و زیبایی,doctors,doctor,doctors,True,False,35.8023747,51.4306148,2221,,False
دکتر بیتا هرمز جراح زنان و زایمان,doctors,doctor,doctors,True,False,35.7697719,51.3129659,2222,,False
کلینیک رومینا,clinic,clinic,clinic,True,False,35.7337633,51.5041539,2223,,False
پوست و مو زیبایی دکتر علیخانی,clinic,,clinic,True,False,35.7238042,51.4072451,2224,,False
کلینیک روانشناسی آوادان مهر,clinic,clinic,clinic,True,False,35.7071413,51.3763786,2225,government_political,True
مرکز کاردرمانی پرواز,doctors,doctor,doctors,True,False,35.6869908,51.4768191,2226,airport_buffer,True
دکتر خشایار سنجری,doctors,doctor,doctors,True,False,35.7584421,51.3617244,2227,,False
فيزيوتراپي كيان پارس,doctors,doctor,doctors,True,False,35.730133,51.5273482,2228,,False
کلینیک تخصصی سونوگرافی دکتر دلیری,doctors,doctor,doctors,True,False,35.6574055,51.3727147,2229,,False
کلینیک دکتر سحرناز سجادیان,doctors,doctor,doctors,True,False,35.7584296,51.3620348,2230,,False
مطب دکتر مرتضی حسن‌زاده فوق تخصص گوارش و کبد,doctors,doctor,doctors,True,False,35.7664736,51.4425913,2231,,False
دندانپزشکی و دندانسازی ویتادنت رحمانی فرد,clinic,clinic,clinic,True,False,35.6951129,51.4774665,2232,airport_buffer,True
درمانگاه شبانه روزی دکتر نوتاش,doctors,doctor,doctors,True,False,35.7267036,51.3202554,2233,,False
کلینیک نازایی نوید,clinic,clinic,clinic,True,False,35.7675809,51.3725937,2234,,False
درمانگاه شبانه روزی ایران زمین,clinic,clinic,clinic,True,False,35.7056071,51.3902334,2235,,False
مطب دندانپزشكى كودكان دكتر مژده بقايی,doctors,doctor,doctors,True,False,35.775312,51.4637914,2236,,False
مطب سیدحسین حسنپور اونجی,doctors,doctor,doctors,True,False,35.7390945,51.5313798,2237,,False
دکتر فرانک محبیان پوست لیزر زیبایی,doctors,doctor,doctors,True,False,35.7553263,51.2397966,2238,airport_buffer|government_political,True
مطب دکتر عبدالرضا نوروزی متخصص تغذیه,clinic,clinic,clinic,True,False,35.7280466,51.4269452,2239,,False
مطب دکتر جوراستی فرد,doctors,doctor,doctors,True,False,35.7421561,51.4112156,2240,,False
مطب دکتر امیر بابک رحیمی,doctors,doctor,doctors,True,False,35.7243129,51.3839552,2241,,False
مرکز دندانپزشکی دکتر مریم سالارکیا,clinic,clinic,clinic,True,False,35.7265432,51.5226334,2242,,False
دکتر طسام | doctortesam,doctors,doctor,doctors,True,False,35.7166702,51.3896487,2243,government_political,True
بیمارستان محک ،کودکان سرطانی,hospital,,hospital,True,True,35.8113149,51.5044509,2244,,False
Maryam Beauty & Care Clinic,clinic,,clinic,True,False,35.7648296,51.441583,2245,,False
دکتر کامران هداوند جراح چاقی و لاپاراسکوپی,doctors,doctor,doctors,True,False,35.7487869,51.4095856,2246,,False
دکتر ماندانا خسروآرا پزشک متخصص پوست مو زیبایی لیزر,clinic,clinic,clinic,True,False,35.7779378,51.3599296,2247,government_political,True
دکتر یونس روحانی | جراح مغز و ستون فقرات,doctors,doctor,doctors,True,False,35.7970028,51.4336663,2248,government_political,True
شعبه مرکزی دندانپزشکی سرو,clinic,clinic,clinic,True,False,35.7854332,51.4408382,2249,,False
دکتر فاطمه خوشدل  روانشناس و هیپنوتراپیست,doctors,doctor,doctors,True,False,35.7812101,51.3614178,2250,,False
مطب دکتر پیمان پورموسوی,doctors,,doctors,True,False,35.7437959,51.4049171,2251,government_political,True
درمانگاه تامین اجتماعی شهیدنیکپور,hospital,,hospital,True,True,35.6673003,51.4462252,2252,,False
دکتر محمدرضا عباسی فوق تخصص کبد و گوارش,hospital,hospital,hospital,True,True,35.7566875,51.3949434,2253,,False
محمدرضا عباسی فوق تخصص گوارش,hospital,hospital,hospital,True,True,35.7567132,51.3948691,2254,,False
کلینیک رادین,doctors,doctor,doctors,True,False,35.7204973,51.4880342,2255,airport_buffer,True
دکتر عطیه بهمن متخصص زنان و زایمان,doctors,doctor,doctors,True,False,35.7566301,51.3948426,2256,,False
دکتر ماریا مرادی,doctors,doctor,doctors,True,False,35.7583358,51.4109841,2257,government_political,True
کلینیک زیبایی سپند,doctors,doctor,doctors,True,False,35.7764444,51.3646735,2258,,False
